metric,value
logrank_3arm_p,0.0029043479975861533
logrank_l5_vs_obs_p,0.0015948649815253487
km_5yr_surv_Obs,0.525668529459622
km_5yr_surv_Lev,0.5353706847764566
km_5yr_surv_Lev+5FU,0.6340146866203197
cox_HR_Lev_vs_Obs,0.9737142235983177
cox_HR_Lev_vs_Obs_lo,0.784405388531461
cox_HR_Lev_vs_Obs_hi,1.208710958771859
cox_HR_Lev5FU_vs_Obs,0.6895547905117989
cox_HR_Lev5FU_vs_Obs_lo,0.5463679420189715
cox_HR_Lev5FU_vs_Obs_hi,0.8702666693084651
cox_adj_HR_Lev5FU_vs_Obs,0.6990849560350236
cox_adj_HR_Lev5FU_vs_Obs_lo,0.552955358112158
cox_adj_HR_Lev5FU_vs_Obs_hi,0.8838322453787707
rmst5y_Obs,3.6665462245701357
rmst5y_Lev,3.62239423527724
rmst5y_Lev5FU,3.971726208253995
rmst5y_delta_Lev5FU_vs_Obs,0.3051799836838591
rmst5y_delta_Lev5FU_vs_Obs_lo,-4.133073597188696
rmst5y_delta_Lev5FU_vs_Obs_hi,4.743433564556415
risk_diff_5yr_Lev5FU_vs_Obs,-0.10834615716069773
ph_test_min_p,0.2594356436654932
